Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS
Álex Abrines,SG,24,OKC,75,1134,115,291,0.395,84,221,0.38,31,70,0.443,0.54,39,46,0.848,353
Quincy Acy,PF,27,BRK,70,1359,130,365,0.356,102,292,0.349,28,73,0.384,0.496,49,60,0.817,411
Steven Adams,C,24,OKC,76,2487,448,712,0.629,0,2,0.0,448,710,0.631,0.629,160,286,0.559,1056
Bam Adebayo,C,20,MIA,69,1368,174,340,0.512,0,7,0.0,174,333,0.523,0.512,129,179,0.721,477
Arron Afflalo,SG,32,ORL,53,682,65,162,0.401,27,70,0.386,38,92,0.413,0.485,22,26,0.846,179
Cole Aldrich,C,29,MIN,21,49,5,15,0.333,0,0,,5,15,0.333,0.333,2,6,0.333,12
LaMarcus Aldridge,C,32,SAS,75,2509,687,1347,0.51,27,92,0.293,660,1255,0.526,0.52,334,399,0.837,1735
Jarrett Allen,C,19,BRK,72,1441,234,397,0.589,5,15,0.333,229,382,0.599,0.596,114,147,0.776,587
Kadeem Allen,PG,25,BOS,18,107,6,22,0.273,0,11,0.0,6,11,0.545,0.273,7,9,0.778,19
Tony Allen,SF,36,NOP,22,273,44,91,0.484,4,12,0.333,40,79,0.506,0.505,11,21,0.524,103
Al-Farouq Aminu,PF,27,POR,69,2072,230,582,0.395,125,339,0.369,105,243,0.432,0.503,59,80,0.738,644
Justin Anderson,SF,24,PHI,38,519,87,202,0.431,34,103,0.33,53,99,0.535,0.515,28,38,0.737,236
Kyle Anderson,SF,24,SAS,74,1978,231,438,0.527,19,57,0.333,212,381,0.556,0.549,104,146,0.712,585
Ryan Anderson,PF,29,HOU,66,1725,207,480,0.431,131,339,0.386,76,141,0.539,0.568,72,93,0.774,617
Ike Anigbogu,C,19,IND,11,30,4,9,0.444,0,0,,4,9,0.444,0.444,5,6,0.833,13
Giannis Antetokounmpo,PF,23,MIL,75,2756,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,2014
Carmelo Anthony,PF,33,OKC,78,2501,472,1168,0.404,169,474,0.357,303,694,0.437,0.476,148,193,0.767,1261
OG Anunoby,SF,20,TOR,74,1481,163,346,0.471,73,197,0.371,90,149,0.604,0.577,39,62,0.629,438
Ryan Arcidiacono,PG,23,CHI,24,304,17,41,0.415,9,31,0.29,8,10,0.8,0.524,5,6,0.833,48
Trevor Ariza,SF,32,HOU,67,2269,268,651,0.412,170,462,0.368,98,189,0.519,0.542,76,89,0.854,782
Darrell Arthur,PF,29,DEN,19,141,22,47,0.468,8,23,0.348,14,24,0.583,0.553,2,3,0.667,54
Jamel Artis,SG,25,ORL,15,279,31,79,0.392,8,29,0.276,23,50,0.46,0.443,7,12,0.583,77
Ömer Aşık,C,31,TOT,18,182,9,22,0.409,0,0,,9,22,0.409,0.409,4,13,0.308,22
D.J. Augustin,PG,30,ORL,75,1760,244,540,0.452,114,272,0.419,130,268,0.485,0.557,164,189,0.868,766
Luke Babbitt,SF,28,TOT,50,715,91,215,0.423,60,156,0.385,31,59,0.525,0.563,17,22,0.773,259
Dwayne Bacon,SG,22,CHO,53,713,72,192,0.375,11,43,0.256,61,149,0.409,0.404,20,25,0.8,175
Ron Baker,SG,24,NYK,29,385,20,59,0.339,11,33,0.333,9,26,0.346,0.432,20,26,0.769,71
